title,season,schedule,placeName,placeLink,duration,classification/image,image,placeTitle,address,price,placeSeats,Valor do show (80%)
Os Sócios,até 29 de Junho,"Quintas (13/04, 25/05, 01/06, 08/06, 15/06, 22/06 e 29/06), às 21h.","<img src=""/templates/images/icon_pin_traced.svg"" class=""icon_pin"">Teatro Shopping West Plaza - Sala Nicette Bruno",https://www.sampaingressos.com.br/local/Teatro%20Shopping%20West%20Plaza%20-%20Sala%20Nicette%20Bruno__2630,65 minutos.,https://www.sampaingressos.com.br/templates/images/16anos.svg,https://sampaingressos.com.br/fotosEspetaculos/foto_123662.jpg,Teatro Shopping West Plaza (120 lugares),"Av. Francisco Matarazzo, s/n - Bloco B - Praça de alimentação - Água Branca","R$ 32,90",120,"R$ 3.158,40"
"Acústico Convida: Rafael Cortez, Marcelo di Morais e Rogerio Berê",Dia 4 de Maio (quinta),"Quinta, às 21h","<img src=""/templates/images/icon_pin_traced.svg"" class=""icon_pin"">Acústico Comedy",https://www.sampaingressos.com.br/local/Ac%C3%BAstico%20Comedy__2749,90 minutos,https://www.sampaingressos.com.br/templates/images/16anos.svg,https://sampaingressos.com.br/fotosEspetaculos/foto_123694.jpg,Acústico Comedy (50 lugares),"Rua da Consolação, 2518 - Consolação","R$ 20,00",50,"R$ 800,00"
Edu Auguso em Cada um tem a Carol que Merece,Dia 13 de Maio (sábado),"Sábado, às 20h","<img src=""/templates/images/icon_pin_traced.svg"" class=""icon_pin"">Caracas Comedy Club Carapicuíba",https://www.sampaingressos.com.br/local/Caracas%20Comedy%20Club%20Carapicu%C3%ADba__2932,70 minutos,https://www.sampaingressos.com.br/templates/images/14anos.svg,https://sampaingressos.com.br/fotosEspetaculos/foto_123785.jpg,Caracas Comedy Club Carapicuíba (150 lugares),"Estr. Ernestina Vieira, 149 - Plaza Shopping Carapicuíba - Vila Dirce","R$ 15,00",150,"R$ 1.800,00"
Diego Becker e Paula Ayala em Carapicuíba,Dia 20 de Maio (sábado),"Sábado, às 20h","<img src=""/templates/images/icon_pin_traced.svg"" class=""icon_pin"">Caracas Comedy Club Carapicuíba",https://www.sampaingressos.com.br/local/Caracas%20Comedy%20Club%20Carapicu%C3%ADba__2932,70 minutos,https://www.sampaingressos.com.br/templates/images/14anos.svg,https://sampaingressos.com.br/fotosEspetaculos/foto_123786.jpg,Caracas Comedy Club Carapicuíba (150 lugares),"Estr. Ernestina Vieira, 149 - Plaza Shopping Carapicuíba - Vila Dirce","R$ 15,00",150,"R$ 1.800,00"
"São Mateus Comedy apresenta: Edu Montone, Vini Santos e Felipe Hatori",Dia 30 de Abril (domingo),"Domingo, às 19h30.","<img src=""/templates/images/icon_pin_traced.svg"" class=""icon_pin"">Teatro Caritas",https://www.sampaingressos.com.br/local/Teatro%20Caritas__1170,90 minutos,https://www.sampaingressos.com.br/templates/images/16anos.svg,https://sampaingressos.com.br/fotosEspetaculos/foto_123790.jpeg,Teatro Caritas (504 lugares),"Rua Pedro Paulino dos Santos, 157 - São Mateus","R$ 26,90",504,"R$ 10.846,08"
Umbanda Comedy Show,Dia 28 de Maio (domingo),"Domingo, às 19h30","<img src=""/templates/images/icon_pin_traced.svg"" class=""icon_pin"">Teatro Caritas",https://www.sampaingressos.com.br/local/Teatro%20Caritas__1170,90 minutos,https://www.sampaingressos.com.br/templates/images/livre.svg,https://sampaingressos.com.br/fotosEspetaculos/foto_123791.jpeg,Teatro Caritas (504 lugares),"Rua Pedro Paulino dos Santos, 157 - São Mateus","R$ 26,90",504,"R$ 10.846,08"
Léo Lins - Peste Branca,Dia 30 de Junho (sexta),"Sexta, às 21h","<img src=""/templates/images/icon_pin_traced.svg"" class=""icon_pin"">Teatro Gazeta",https://www.sampaingressos.com.br/local/Teatro%20Gazeta__28,70 minutos,https://www.sampaingressos.com.br/templates/images/14anos.svg,https://sampaingressos.com.br/fotosEspetaculos/foto_123822.jpg,Teatro Gazeta (700 lugares),"Avenida Paulista, 900 - Térreo (Próximo da estação Trianon-Masp do Metrô) - Cerqueira César","R$ 70,00",700,"R$ 39.200,00"
Evandro nunca fui Santo,Dia 30 de Junho (sexta),"Sexta, às 21h.","<img src=""/templates/images/icon_pin_traced.svg"" class=""icon_pin"">Comedy Sampa Club",https://www.sampaingressos.com.br/local/Comedy%20Sampa%20Club__2555,90 minutos,https://www.sampaingressos.com.br/templates/images/16anos.svg,https://sampaingressos.com.br/fotosEspetaculos/foto_123825.jpg,Comedy Sampa Club,"Rua Domingos de Morais, 348 - Vila Mariana","R$ 35,00",500,"R$ 14.000,00"
Rogério Morgado em Osasco,Sessão única hoje (quinta),"Quinta, às 21h (a casa abre às 19h)","<img src=""/templates/images/icon_pin_traced.svg"" class=""icon_pin"">Oz Comedy",https://www.sampaingressos.com.br/local/Oz%20Comedy__1000084,60 minutos,https://www.sampaingressos.com.br/templates/images/18anos.svg,https://sampaingressos.com.br/fotosEspetaculos/foto_124051.jpg,Oz Comedy (125 lugares),"Av. Dionysia Alves Barreto, 500 - loja 1 e 26 - Vila Osasco","R$ 40,00",125,"R$ 4.000,00"
Carol Delgado,Dia 20 de Maio (sábado),"Sábado, às 21h","<img src=""/templates/images/icon_pin_traced.svg"" class=""icon_pin"">Bixiga Comedy Club",https://www.sampaingressos.com.br/local/Bixiga%20Comedy%20Club__2842,80 minutos,https://www.sampaingressos.com.br/templates/images/16anos.svg,https://sampaingressos.com.br/fotosEspetaculos/foto_123820.jpg,Bixiga Comedy Club,"Rua Rui Barbosa, 574 - Bela Vista","R$ 25,00",100,"R$ 2.000,00"
